batter,stand,stratum,is_anchor
457705,R,high,False
467793,L,high,False
502671,R,high,False
545121,L,medium,False
545361,R,high,True
571745,R,high,False
592325,L,high,False
592626,L,high,True
593871,L,high,False
594807,R,high,True
596103,R,high,False
605141,R,high,False
605170,L,medium,False
605346,R,low,False
608336,L,high,False
624428,L,high,False
650859,L,high,False
656941,L,high,True
657041,R,high,False
660707,R,medium,False
662139,L,medium,False
665742,L,high,True
665926,L,medium,False
667472,R,low,False
668709,L,medium,False
669289,R,medium,False
669394,R,medium,False
676113,L,low,False
677347,R,low,False
680474,R,low,False
680718,L,low,False
680776,L,medium,False
680869,R,low,False
681146,R,low,False
682177,L,low,False
682626,R,medium,False
686527,L,low,False
686894,R,medium,False
691718,L,low,False
700250,L,low,False
